"","Age","Education"," Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Class"
"1",-0.95197,0.45468,0.96082,-0.31685,-0.46725,0.00332,-1.11902,1.45039,-0.78155,-0.21712,1.2247,0
"2",1.09449,-0.05921,0.96082,-0.31685,-0.24649,0.80523,-1.68062,1.2861,1.13407,-0.71126,-1.54858,0
"3",1.09449,0.45468,0.96082,-0.31685,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,0
"4",-0.07854,-0.61113,0.21128,-0.31685,-1.55078,2.127,0.88309,-0.01729,0.93949,-0.21712,0.40148,0
"5",-0.07854,-0.05921,0.96082,-0.31685,-0.67825,0.96248,-1.11902,-0.15487,0.58489,0.19268,-0.21575,0
"6",1.82213,0.45468,0.96082,-0.31685,-0.79151,0.32197,0.44585,-1.47955,1.46191,-0.21712,0.07987,0
"7",-0.07854,-1.22751,0.96082,-0.31685,-0.14882,-0.15487,-1.97495,0.59042,0.7583,-0.71126,-0.84637,0
"8",-0.07854,-0.61113,-0.57009,-0.31685,0.13606,1.11406,0.7233,-0.30172,0.7583,-0.21712,1.2247,0
"9",1.09449,1.16365,-0.28519,-0.31685,1.02119,0.80523,0.44585,-0.15487,0.25953,-0.21712,0.40148,0
"10",0.49788,0.45468,0.96082,-1.10702,0.62967,-1.37639,-1.27553,0.28783,-0.27607,-0.71126,-0.84637,0
"11",-0.07854,-1.22751,0.96082,-0.31685,0.04257,0.32197,-0.97631,0.94156,-1.0145,0.19268,-0.21575,0
"12",1.09449,1.16365,0.96082,-0.31685,-2.3436,2.127,1.65653,0.76096,0.7583,0.88113,0.40148,0
"13",-0.07854,0.45468,0.96082,-0.31685,0.04257,0.16767,0.29338,2.03972,1.81175,0.52975,-1.18084,0
"14",1.82213,-1.22751,0.24923,-0.31685,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,0
"15",-0.95197,-0.05921,0.96082,-0.31685,0.73545,1.11406,0.44585,-1.07533,-0.27607,0.88113,1.92173,0
"16",1.09449,1.98437,0.96082,-0.22166,-0.46725,0.47617,0.58331,0.28783,-0.14277,-0.21712,-2.07848,0
"17",-0.07854,1.98437,0.96082,-0.22166,1.60383,1.2861,0.58331,0.28783,-0.78155,0.52975,-1.18084,0
"18",0.49788,0.45468,0.96082,-0.31685,-0.46725,0.96248,-0.84732,0.28783,1.13407,0.19268,-0.21575,0
"19",0.49788,-1.22751,-0.57009,-1.10702,0.73545,-1.37639,-0.97631,-0.30172,-0.52745,-0.71126,0.40148,0
"20",1.82213,0.45468,-0.57009,-0.31685,1.72012,-2.11437,-1.11902,-1.21213,-0.27607,0.88113,-0.84637,0
"21",-0.07854,0.45468,0.96082,-0.31685,0.82562,-0.80615,-0.58331,-0.45321,-0.27607,-0.71126,-0.52593,0
"22",0.49788,0.45468,0.96082,-0.22166,0.13606,1.2861,-0.97631,0.43852,-0.00665,-0.21712,-0.21575,0
"23",-0.07854,0.45468,0.96082,-0.31685,0.41667,0.80523,-0.31776,0.94156,0.58489,-0.21712,0.07987,0
"24",-0.95197,0.45468,0.96082,-0.50212,0.62967,0.16767,-1.11902,0.28783,-0.52745,0.52975,-0.52593,0
"25",0.49788,-1.43719,0.96082,-0.31685,0.31287,-1.6334,-1.97495,-1.07533,-1.38502,-1.37983,-2.07848,0
"26",-0.07854,1.16365,0.96082,-0.31685,1.72012,-0.43999,-1.27553,1.45039,-0.89891,-1.37983,-1.54858,0
"27",-0.95197,1.16365,0.96082,-0.31685,0.62967,1.45421,-0.17779,2.46262,-0.52745,1.29221,0.40148,0
"28",-0.07854,0.45468,0.96082,-0.31685,-1.1943,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575,0
"29",-0.95197,-0.61113,-0.28519,-0.31685,2.127,-1.7625,-0.31776,-1.47955,0.25953,-1.37983,-0.52593,0
"30",1.09449,1.98437,0.96082,-0.31685,0.04257,1.58487,1.06238,0.59042,2.04506,-0.21712,-0.52593,0
"31",-0.07854,-0.05921,0.96082,-0.31685,0.13606,0.63779,-0.84732,1.81866,0.58489,-0.21712,-1.18084,0
"32",0.49788,-1.7379,0.96082,-0.31685,-0.14882,1.11406,0.29338,-0.91699,-1.0145,1.86203,0.40148,0
"33",1.09449,-0.05921,0.96082,-0.31685,-1.55078,0.96248,-0.31776,-0.45321,0.25953,-0.21712,-1.54858,0
"34",-0.07854,0.45468,0.96082,-0.31685,-0.46725,0.80523,-0.97631,1.45039,1.13407,-1.37983,-1.18084,0
"35",-0.07854,1.16365,0.96082,-1.10702,-1.05308,0.63779,-0.31776,1.2861,1.30612,-0.71126,0.40148,0
"36",1.82213,0.45468,0.96082,-0.31685,0.62967,0.32197,0.7233,-0.30172,0.93949,0.52975,0.07987,0
"37",1.09449,-1.7379,0.96082,0.1144,0.31287,-0.30033,-1.27553,-0.15487,0.58489,0.88113,0.40148,0
"38",1.09449,0.45468,-0.57009,-0.31685,-0.05188,0.63779,0.58331,0.76096,1.30612,-0.21712,0.07987,0
"39",-0.95197,-0.05921,-0.28519,0.1144,-1.1943,-0.43999,0.44585,0.59042,0.12331,-1.37983,-0.21575,0
"40",0.49788,0.45468,0.96082,-0.31685,0.22393,-2.11437,-2.09015,-1.34289,-1.38502,1.86203,0.7654,0
"41",1.09449,0.45468,0.96082,-0.31685,1.02119,-1.50796,-0.71727,0.28783,-0.89891,-0.21712,0.7654,0
"42",-0.07854,0.45468,0.24923,0.126,-0.92104,1.2861,-0.01928,-0.01729,0.41594,-0.71126,-1.18084,0
"43",-0.95197,-0.05921,0.96082,-0.31685,-0.92104,-0.30033,-0.71727,0.59042,0.41594,-0.71126,-1.54858,0
"44",0.49788,0.45468,0.96082,-0.31685,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,0
"45",-0.07854,-1.22751,0.96082,-0.31685,-0.46725,0.16767,-2.63199,0.59042,1.13407,0.52975,-0.84637,0
"46",-0.07854,1.16365,-0.57009,-0.31685,0.91093,0.63779,-0.45174,-1.21213,-0.78155,0.88113,1.92173,0
"47",-0.07854,-0.05921,0.96082,-0.31685,-0.14882,1.11406,0.44585,1.2861,1.30612,0.19268,1.2247,0
"48",1.09449,-0.05921,0.24923,-0.31685,-0.58016,0.32197,1.06238,-1.772,0.41594,1.86203,0.40148,0
"49",-0.95197,-0.61113,-0.28519,-0.31685,-1.1943,1.11406,1.24033,-1.6209,-0.65253,0.52975,1.2247,0
"50",-0.07854,1.16365,0.96082,-1.10702,-1.32828,0.47617,-0.01928,1.11406,0.12331,-1.37983,-1.54858,0
"51",-0.95197,0.45468,0.96082,-0.31685,0.52135,-0.94779,-0.84732,-1.07533,-0.40581,-0.21712,0.40148,0
"52",0.49788,1.98437,0.24923,-0.31685,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.2247,0
"53",-0.07854,1.16365,0.96082,-0.31685,0.13606,0.63779,0.14143,-0.91699,1.63088,-0.71126,-1.54858,0
"54",-0.07854,0.45468,0.96082,-0.31685,-0.67825,3.00537,0.7233,0.94156,1.63088,0.52975,0.40148,0
"55",0.49788,-0.61113,0.96082,-0.31685,0.31287,0.80523,-0.31776,1.2861,0.7583,-1.37983,-1.18084,0
"56",-0.07854,-0.05921,0.96082,-0.31685,-0.14882,1.58487,-0.01928,0.13136,-0.40581,0.88113,0.07987,0
"57",0.49788,1.98437,0.96082,-0.31685,-2.05048,1.58487,0.14143,0.13136,0.7583,0.19268,-0.84637,0
"58",-0.95197,0.45468,0.96082,-0.31685,1.02119,-0.69509,0.88309,-1.772,-0.40581,0.19268,0.40148,0
"59",0.49788,-0.05921,0.96082,-0.31685,-0.46725,0.63779,-0.17779,-0.15487,-0.65253,0.88113,-0.21575,0
